兄弟 | 还不认亲 | Racism | hate [END]
知乎 | 不是你表达个人喜好的平台，歪理邪说还编的津津乐道呢？而且断章取义，夹带个人私货，一些信息调查清楚了吗就好意思一个字一个字敲出来？多学点知识会发表有质量的观点再来知乎吧，不然也没人和你共鸣 | others | hate [END]
河北 | 偷井盖是事实 不叫黑昂 | Region | hate [END]
战士 | 是不分性别的 | non-hate | non-hate [END]
清官 | 也许只是价格，彩礼谈不拢呢？清官断不了家务事，何况外人（你劝男人你是外人，对男女来说，黑人是外人）。 | Racism | hate [SEP] 黑人 | 黑人是外人 | Racism | hate [END]
上海 | 说了实话怎么能算黑 | Region | hate [END]
政客 | 黑皮 | Racism | hate [END]
女性 | 不受惩罚 | Sexism | hate [END]
大学 | 男生果然变态很多呀，还偷拍别人，建议报警 | Sexism | hate [END]
这货 | 删帖了 | others | hate [END]
黑人 | 太黑了 | Racism | hate [END]
我 | 可能给你输出racial discrimination观念 | Racism | hate [END]
公司外派 | 在唐山上了三年班，人们都很亲切👍👍 | non-hate | non-hate [END]
我 | 愿称金庸为大师 | non-hate | non-hate [END]
仙女营销号 | 这么快就破防了 | Sexism | hate [END]
人 | 离赤道越近的人越黑 | Region | hate [END]
黑人英雄 | 黑人英雄都是犯罪分子，这个是惯犯 | Racism | hate [END]
黑男 | 嫁黑男是你的自由，但请去它们国家，别在又想在中国占着资源，还骂着我们国家的男性，你，不配，可懂？ | Racism | hate [END]
你 | 是基佬，为什么要伤害自己人呢，不怕因果报应吗？ | LGBTQ | hate [END]
大家 | 都这么嗨的黑河南，那我们井盖手艺都是炎黄传下来的，大家一个祖先，黑呗！ | Region | hate [END]
黑人 | 在哪个领域比别人强？嗯，犯罪领域 | Racism | hate [END]
女厕所 | 数量多于男厕所 | Sexism | hate [SEP] 男厕所 | 多于女厕所是违法滴 | Sexism | hate [END]
黑女 | 一般都是乱性的 | Racism | hate [END]
JATOO | JATOO也是食神，，， | non-hate | non-hate [END]
黑人 | 如果那个黑人对中国友好，那么我倒可以忍受，就像快手上有个嫁黑人的，那个黑人对中国很友好，我倒也可以忍受。虽然还是不喜欢，但只要是与中国友好的黑人，哪怕不喜欢，我也可以忍受 | non-hate | non-hate [END]
黑人吧 | 早被我们反黑站了 | Racism | hate [END]
这种 | 就是腐癌，磕CP的前提不是自己也得是同性恋 | LGBTQ | hate [END]
人种 | 值得批判！我不明白为什么人种没有生殖隔离呢？爱美之心人皆有之！一白遮百丑！美白，美白，美听说过美黑的。没见过黑人去选美的。 | Racism | hate [END]
老黑 | 我一直没把老黑当老大，他有什么值得我当老大？打篮球？对不起，我崇拜姚明，我也没觉得脏辫好看，也没觉得说唱好听，别在这钓鱼了 | Racism | hate [END]
楼上 | 无耻透顶的女人 | Sexism | hate [END]
隐藏在后面的是乱性艾滋病 | 是乱性艾滋病 | others | hate [END]
你 | 这波贼喊捉贼有意思 | others | hate [END]
贴吧 | 审核要是没有慕刃，我把手机吃下去 | Region | hate [END]
北欧 | 一群炼铜海盗哦 | LGBTQ | hate [END]
艾滋病 | 要你命 | others | hate [END]
华莱士 | 被黑得很惨 | Region | hate [END]
杰希 | 一听就是歪果仁 | Region | hate [END]
说上海不排外的 | 都是没去过上海或者没生活经验的 | Region | hate [END]
你 | 应该天天刷这答案 | non-hate | non-hate [END]
像我们这样的普信男 | 国女又看不上 不但看不上 还大加嘲讽 结婚彩礼不算车房都要几十万 有些郭楠在部分国女眼里早就被开除人籍了 | Sexism | hate [SEP] 黑皮白皮 | 才是人上人 | Racism | hate [END]
舔狗 | 都是很恶毒的男淫。它们自己未必真对女人好，只是希望全天下男的都当跪男，这样，它们才有一点优越感。 | Sexism | hate [END]
男生 | 180以下就是残疾 | others | hate [END]
你 | 是东北人ba | non-hate | non-hate [END]
你 | 被女的传染 | others | hate [END]
楼上那个低能 | 也就敢在网上叫一叫了，在现实中连句话都不敢说，我要是遇见这样的txl直接煽风点火孤立 | LGBTQ | hate [END]
楼主 | 在某种程度上，也被女权洗脑，错误观点急需纠正啊 | Sexism | hate [END]
浙江人 | 挺好的啊，为啥要被黑，浙江也是很富裕的鱼米之乡 | non-hate | non-hate [END]
浏览 | 是没事的吧 | non-hate | non-hate [END]
有人 | 说“听口音是东北人干的”，任何坏事，都扣到东北人头上 | Region | hate [END]
个体女人 | 这个问题得和社会资源充不充足来配套看，社会资源充足就导致个体女人产生了不需要个体男人的错觉，社会资源不充足（贫困战乱时期）大家都顾着自己呢，谁在乎女人咋样。温饱思淫欲，动保环保女权这类东西的发展，必须建立在一个稳定/处于上升期的社会 | Sexism | hate [SEP] 女 | 这个问题得和社会资源充不充足来配套看，社会资源充足就导致个体女人产生了不需要个体男人的错觉，社会资源不充足（贫困战乱时期）大家都顾着自己呢，谁在乎女人咋样。温饱思淫欲，动保环保女权这类东西的发展，必须建立在一个稳定/处于上升期的社会 | Sexism | hate [SEP] 女权这类东西 | 这个问题得和社会资源充不充足来配套看，社会资源充足就导致个体女人产生了不需要个体男人的错觉，社会资源不充足（贫困战乱时期）大家都顾着自己呢，谁在乎女人咋样。温饱思淫欲，动保环保女权这类东西的发展，必须建立在一个稳定/处于上升期的社会 | Sexism | hate [END]
十有八九 | 是领美刀的 | Region | hate [END]
说这些的 | 肯定有问题，江浙沪我去过，没碰到这些人 | non-hate | non-hate [END]
他 | 想演变态同性恋 | LGBTQ | hate [END]
你 | 归根结底你还不是觉得两个人在一起是为了生育嘛 | non-hate | non-hate [END]
畜狌 | 繁殖 | Sexism | hate [END]
这黑人 | 应该回非洲去 | Racism | hate [END]
警察叔叔 | 小心艾滋 | non-hate | non-hate [END]
一个子公司的财务 | 向我们骂了五分钟的贵州人 | non-hate | non-hate [END]
河南 | 别说数一数二了，数五数六都排不上 | non-hate | non-hate [END]
你 | 智商有问题 | Sexism | hate [SEP] txl | 智商有问题 | LGBTQ | hate [END]
这人 | 还是个op | non-hate | non-hate [END]
山西的 | 存在感实在是低到没人黑 | non-hate | non-hate [END]
大多国女 | 找黑人白人结婚率并不高 | non-hate | non-hate [END]
崇洋媚外 | 本身就是一种种族主义 | non-hate | non-hate [END]
幕刃 | 应该把他自己和女性割裂开 | Sexism | hate [END]
我 | 没看到黑龙江的负面新闻比别的地方更多 non-hate | non-hate [END]
穆加贝 | 有什么理由说我们 | Racism | hate [END]
自由社会 | 所有无耻作为的遮羞布挡箭牌了 | non-hate | non-hate [END]
直佬们 | 做好被强制纠正取向的准备 | LGBTQ | hate [END]
后 | 天机预言，后世潳嘿 | non-hate | non-hate [END]
性取向 | 能不能改因人而异，性取向是个人的权利 | non-hate | non-hate [END]
女权 | 抓住把柄来反击 | Sexism | hate [SEP] 男舔们 | 抓住把柄来反击 | Sexism | hate [END]
反同 | 有用吗 | non-hate | non-hate [END]
她们 | 生下丑陋的哥布林 | Sexism | hate [END]
大飞柱 | 应该发到 | non-hate | non-hate [END]
女👊 | 恶心 | Sexism | hate [END]
普信 | 奇趣蛋 | Sexism | hate [END]
黑龙江 | GDP | non-hate | non-hate [END]
同性恋 | 接受不了 | LGBTQ | hate [SEP] 同性恋 | 不喜欢 | LGBTQ | hate [SEP] 同性恋 | 厌恶 | LGBTQ | hate [SEP] 同性恋 | 讨厌 | LGBTQ | hate [END]
黑人 | 那应该也挺帅的了，我见着的黑人几乎都是没有头发然后看不清五官🤣 | Racism | hate [END]
中国 | 日子比日本混的好 | non-hate | non-hate [END]
喷吧 | 被冲了就不让发言了 | non-hate | non-hate [END]
河南人 | 偷井盖被歧视 | Region | hate [END]
白人 | 里出美女的几率也太高了 | non-hate | non-hate [END]
资本家 | 不配让爷去🙂 | non-hate | non-hate [END]
女人 | 生意真的好做 | Sexism | hate [END]
单亲妈妈 | 活该被淘汰 | Sexism | hate [END]
黑人群体 | 没接触 | Racism | hate [END]
贵州 | 怎么了 | non-hate | non-hate [END]
有些国男 | 多学着点吧😄 | Sexism | hate [END]
黑人 | 恐怕已经被生死簿勾了名了 | Racism | hate [SEP] 黑人 | 拒绝 | Racism | hate [END]
黑小子 | 成为公害 | Racism | hate [SEP] 混血二代 | 成为公害 | Racism | hate [END]
屈臣氏 | 想玩什么 | non-hate | non-hate [END]
这个女人 | 送去非洲🐶🐶 | Sexism, Racism | hate [END]
排外的人 | 无论是哪里人都是社会底层 | non-hate | non-hate [END]
大龄剩女 | 千万不要找 | Sexism | hate [END]
广东 | 那个应该不算黑？ | non-hate | non-hate [END]
这个政治 | 非常正确 | non-hate | non-hate [END]
温州 | 假皮鞋 | Region | hate [END]
基佬 | 对社会的贡献远不如一个长相不佳的直男工程师 | LGBTQ | hate [END]
基佬 | 做这么多伤天害理的事难怪会成长为 | LGBTQ | hate [END]
女人 | 除了子宫，还有什么用 | Sexism | hate [END]
txl | 喜欢乱组cp | LGBTQ | hate [SEP] txl | ex烦人 | LGBTQ | hate [END]
同性恋 | 能幸福 | non-hate | non-hate [END]
她 | 不要找北 | Region | hate [END]
知乎官方 | 偏向女拳立场 | Sexism | hate [END]
南方人 | 揍黑人白人也很多 | Region | hate [SEP] 南方人 | 低人一等 | Region | hate [END]
非洲 | 疟疾，霍乱和黄热 | Racism | hate [END]
你 | 生育工具 | Sexism | hate [END]
这贴 | 鸡皮疙瘩 | non-hate | non-hate [END]
东北 | 贫 | non-hate | non-hate [END]
你 | 说得对 | non-hate | non-hate [END]
我家老人 | 只喜欢看本地台那些八卦消息 | non-hate | non-hate [END]
河南人 | 讨厌 | Region | hate [END]
母🐶 | 没了男的也买不起车 | Sexism | hate [END]
女服务员 | 恶作剧 | Sexism | hate [END]
黑 | 太丑 | Racism | hate [END]
龟男 | 不给他戴绿帽都对不起他的智商 | Sexism | hate [END]
那些精英 | 巴不得绑架全世界 | non-hate | non-hate [END]
幕刃 | 乐色 | Sexism | hate [END]
女拳 | 拿啥跟她们比？ | Sexism | hate [END]
东北人 | 在青岛的口碑已经差到不行了 | Region | hate [END]
人类小狒狒 | 有些动物喜欢缠着 | Racism | hate [END]
国女生的黑人孩子 | 我从来不会同情 | Sexism, Racism | hate [END]
她 | 得个艾滋而已总好过去非洲送死吧 | Racism | hate [END]
黑人 | 崇洋媚外，低人一等 | Racism | hate [END]
广东本地人 | 被骂有优越感的 | Region | hate [END]
男人 | 已经实现了东食西宿 | Sexism | hate [SEP] 女人 | 已经实现了东食西宿 | Sexism | hate [SEP] 女性 | 已经实现了东食西宿 | Sexism | hate [SEP] 处女 | 已经实现了东食西宿 | Sexism | hate [END]
山东人 | 在那反串啥啊 | non-hate | non-hate [END]
非洲 | 我已经不相信 | Racism | hate [END]
NULL | 看到小红书这三个字儿 | non-hate | non-hate [END]
找黑人处对象的 | 鸟毛不给，滚出户 | Racism | hate [END]
你们 | 接盘 | Sexism | hate [END]
女权 | 发展到极端受害者只会是女性 | non-hate | non-hate [END]
江苏浙江 | 存在感也没那么强 | non-hate | non-hate [END]
外国语啥的 | 要小心 | non-hate | non-hate [END]
黑人 | 最讨厌 | Racism | hate [END]
智力不足的人 | 在讨论严肃的问题时使用该词会造成歧义 | non-hate | non-hate [END]
仇男癌成员 | 极端 | Sexism | hate [END]
欧美 | 全部变成绝食主义者 | Region | hate [END]
死飞柱 | 滚去正宗大飞柱吧 | others | hate [END]
NULL | 和男生抬杠的，装理中客的 | Sexism | hate [END]
你 | 说得挺好的 | non-hate | non-hate [END]
b站女拳 | 集中营 | Sexism | hate [END]
黑东北的 | 地域黑是不想祖 | non-hate | non-hate [END]
黑人 | 就当没生过喽 | Racism | hate [END]
好友 | 犯罪后被枪毙 | non-hate | non-hate [SEP] 尸体 | 被卖给了医学院 | non-hate | non-hate [END]
他 | 弄个半身不遂 | others | hate [END]
蛆佬 | 智商都高感染hiv后更高 | LGBTQ | hate [END]
黑人 | 宣传 | Racism | hate [END]
倪哥 | 能不能死? | Racism | hate [END]
你 | 移民非洲 | Racism | hate [END]
这个这个河北 | 没存在感 | non-hate | non-hate [END]
这主播 | 有点实力 | non-hate | non-hate [END]
湖北 | 黑称 | non-hate | non-hate [END]
黑人 | 沐猩而冠 | Racism | hate [END]
人造子宫 | 赛高 | Sexism | hate [END]
女权师 | 疯狂成这个样子 | Sexism | hate [END]
他们 | 找黑人媳妇觉得不要彩礼还能干 | Sexism, Racism | hate [SEP] 女性 | 大傻子 | Sexism | hate [END]
它 | 搁楼道里养很难有? | non-hate | non-hate [END]
他们 | 学会尊重这些群体 | non-hate | non-hate [SEP] 泛性恋同性恋双性恋 | 学会尊重这些群体 | non-hate | non-hate [END]
女性 | 出轨率已打80% | Sexism | hate [END]
外国人 | 我肯定接受不了 | Racism | hate [END]
b站 | 将是下一个豆瓣 | non-hate | non-hate [END]
西安 |恨不得开除国籍| non-hate | non-hate [END]
江西人 | 为了黑而生😅 | Region | hate [END]
跪虫族 | 都是这种水平 | Racism | hate [END]
西安人 | 似神！！！！！ | non-hate | non-hate [SEP] 额们 | 给你个瓜怂家房子都偷走 | non-hate | non-hate [END]
回族 | 信教 | non-hate | non-hate [SEP] 回族 | 吃肥肉的 | non-hate | non-hate [SEP] 回民 | 信教 | non-hate | non-hate [SEP] 回民 | 吃肥肉的 | non-hate | non-hate [END]
四川 | 最优越的位置 | Region | hate [END]
韩国 | 希望我国能借鉴 | non-hate | non-hate [END]
某省 | 张口就黑 | Region | hate [SEP] 东北人 | 被黑 | non-hate | non-hate [END]
他们 | 艾滋病 | Racism | hate m | hate [END]
她们 | 倒贴嫁出去 | Sexism, Racism | hate [END]
学校和黑狗 | 不是好东西 | Racism | hate [END]
好兄弟 | 别急呀 | non-hate | non-hate [END]
黑人 | 心理生理双重奴役黑人喃 | Racism | hate [END]
东北人 | 表示赞同 | non-hate | non-hate [END]
浙南 | 不想被代表 | non-hate | non-hate [END]
媚黑 | 排黑目光的产物 | Racism | hate [SEP] 默 | 没爱情 | Sexism, Racism | hate [END]
她们 | 开始线上拉客了 | Sexism | hate [END]
你 | hui气 | others | hate [END]
反女权 | 不要抗旧社会大旗 | Sexism | hate [END]
黑河南的 | 不是一个量级 | Region | hate [END]
老婆 | 不裱起来供着就算家暴 | Sexism | hate [END]
男同 | 生理排斥 | LGBTQ | hate [END]
媚黑女 | 倒贴 | Sexism, Racism | hate [END]
黑种人 | 在中国的原住民中没有 | Racism | hate [END]
四川人 | 受到的歧视也不少 | non-hate | non-hate [END]
这种地方 | 好多都出去打工可能素质不太高 | non-hate | non-hate [END]
半斤八两 | 哪个重？ | non-hate | non-hate [END]
女生 | 靠比入住就行了 | Sexism | hate [END]
肥猪幕刃 | 怎么从屠宰场跑出来了 | Sexism | hate [END]
这些渣滓 | 到哪里都是渣滓 | others | hate [END]
三省 | 内部也有歧视 | non-hate | non-hate [END]
女生 | 报警 | Sexism | hate [END]
同性恋 | 也可以跟异性结婚生小孩的 | non-hate | non-hate [END]
山东河南 | 主要的征兵地 | non-hate | non-hate [END]
同 | 反 | LGBTQ | hate [END]
这些人 | 世上最奇葩的 | LGBTQ | hate [END]
南方人 | 互黑 | Region | hate [SEP] 东北人 | 共黑 | Region | hate [END]
系统 | 会删 | non-hate | non-hate [END]
黑人 | 犯罪率就较高 | Racism | hate [END]
妇女报 | 妇联名下的 | non-hate | non-hate [END]
你们 | 实在叠buff吗🤣 | non-hate | non-hate [END]
nq | 觉得自己不能共情任何男性很棒 | Sexism | hate [END]
他们 | 生理 | LGBTQ | hate [SEP] 他们 | 真的恶心 | LGBTQ | hate [SEP] 月光男孩 | 生理 | LGBTQ | hate [SEP] 月光男孩 | 真的恶心 | LGBTQ | hate [END]
华东理工大学毕业的人 | 不要交往 | others | hate [SEP] 华东理工大学毕业的人 | 不要聘请 | others | hate [END]
你 | 信口开河 | non-hate | non-hate [END]
男的 | 不可以坦白自己的pc史 | non-hate | non-hate [END]
我父母 | 靠谱点 | non-hate | non-hate [END]
男同 | 专门杀同性恋的 | LGBTQ | hate [END]
蝻蛆 | 少管女人的閒事 | Sexism | hate [END]
古代封建地主和官~员 | 比外国人还要丑陋 | others | hate [END]
宁的国人同胞 | 在非洲下了多少蛋 | non-hate | non-hate [END]
哥们 | 勇敢反击被挂 | non-hate | non-hate [END]
一部分群体 | 莫名的有种害怕 | non-hate | non-hate [END]
牲口 | 做不了人事 | others | hate [END]
苏北人 | 地域黑能到这种程度 | Region | hate [END]
黑人 | 想改变这个趋势，极其困难 | Racism | hate [END]
不婚不育的女权 | 出来吱一声 | Racism | hate [END]
她 | 防止恶性传染病 | non-hate | non-hate [END]
基佬 | 染艾身亡就会越来越多 | LGBTQ | hate [END]
艾 | 梅什么，湿不了[蹲] | LGBTQ | hate [END]
